,,APPENDIX E,,E-1
,CENSUS LIST OF SPANISH SURNAMES,,,
ABAD,ABELLEIRA,ABREO,ACETY,AFANADOR
ABADIA,ABELLERA,ABREU,ACEUEDO,AFRE
ABADIANO,ABENDANO,ABREUS,ACEVDO,AGADO
ABADIAS,ABERASTURI,ABREUT,ACEVEDA,AGALA
ABADILLA,ABERASTURIA,ABREV,ACEVEDO,AGANZA
ABADIN,ABERGEL,ABREW,ACEVES,AGAPITO
ABAIGAR,ABESADA,ABREYO,ACEVEZ,AGEITOS
ABAJO,ABETE,ABRICA,ACEVIDO,AGIRRE
ABALLE,ABEYTA,ABRIGO,ACHA,AGON
ABALO,ABEYTIA,ABRIL,ACHEZ,AGOSTO
ABALOS,ABIEGA,ABRIOL,ACHON,AGRA
ABAONZA,ABILA,ABUIN,ACIDO,AGRAIT
ABARCA,ABILES,ABUNDES,ACIN,AGRAMONTE
ABARCO,ABILEZ,ABUNDEZ,ACOBE,AGRAS
ABAROA,ABIN,ABUNDIS,ACOSTA,AGRAZ
ABARQUEZ,ABINA,ABUNDIZ,ACOYA,AGREDA
ABARTA,ABIO,ABUNDO,ACUESTA,AGREDANO
ABARZUA,ABIOL,ABURTO,ACUNA,AGREGADO
ABASCAL,ABISLAIMAN,ABUTIN,ACUSTA,AGRONT
ABASTA,ABITIA,ACABA,ADAME,AGUABELLA
ABASTAS,ABITU,ACABEO,ADAMES,AGUADO
ABASTO,ABITUA,ACARON,ADAMEZ,AGUALLO
ABAUNZA,ABLANEDO,ACASTA,ADAN,AGUANO
ABAURREA,ABOGADO,ACCOSTA,ADANZA,AGUARISTI
ABAY,ABOITE,ACCUAR,ADARGO,AGUAS
ABAYA,ABOITES,ACEBAL,ADAROS,AGUASVIVAS
ABBADIE,ABOLILA,ACEBEDO,ADAUTO,AGUAYA
ABDALA,ABONCE,ACEBO,ADELO,AGUAYO
ABEA,ABORLLEILE,ACED,ADONA,AGUDELO
ABEITA,ABOY,ACEDO,ADORNO,AGUDO
ABEJA,ABOYTES,ACEITUNO,ADRIASOLA,AGUEDA
ABELAIRAS,ABRAHANTE,ACENCIO,ADROVER,AGUELAR
ABELAR,ABRAHANTES,ACENEDO,ADROVET,AGUERA
ABELDANO,ABRAJAN,ACERA,ADUNA,AGUERO
ABELEDO,ABRANTE,ACEREDO,ADVINCULA,AGUEROS
ABELLA,ABREA,ACERETO,AEDO,AGUERRE
ABELLAN,ABREGO,ACERO,AFAN,AGUERREBERE
E-2,,,,
,,APPENDIX E,,
,CENSUS LIST OF SPANISH SURNAMES,,,
AGUERRIA,AGUON,ALAMILLO,ALBARENGA,ALCANIZ
AGUET,AGURRIES,ALAMO,ALBAREZ,ALCANTA
AGUIGUI,AGURTO,ALAMOS,ALBARICO,ALCANTAR
AGUILA,AGUSTI,ALANIS,ALBARRACIN,ALCANTARA
AGUILAR,AGVILAR,ALANIZ,ALBARRAN,ALCANTARO
AGUILER,AHEDO,ALANSO,ALBEAR,ALCANTOR
AGUILERA,AHIN,ALANZO,ALBELO,ALCARAS
AGUILES,AHUERO,ALAQUINES,ALBERCA,ALCARAZ
AGUILLAR,AHUMADA,ALAQUINEZ,ALBERIO,ALCAREZ
AGUILLEN,AIBAR,ALARCO,ALBERRO,ALCASAS
AGUILLERA,AINSA,ALARCON,ALBERTORIO,ALCAYDE
AGUILLON,AINZ,ALARD,ALBERU,ALCAZAR
AGUILO,AINZA,ALARDE,ALBEZ,ALCE
AGUILON,AIRA,ALARDIN,ALBIAR,ALCEDO
AGUILOR,AISA,ALARI,ALBIDRES,ALCERRECA
AGUILOS,AISO,ALARICO,ALBIDREZ,ALCIBAR
AGUILU,AISPURO,ALARID,ALBILLAR,ALCIVAR
AGUILUZ,AIZPURU,ALARY,ALBINES,ALCOBER
AGUINAGA,AJUNTAS,ALAS,ALBIOL,ALCOCER
AGUINIGA,AJURIA,ALATORRE,ALBISO,ALCOCES
