name_last,name_suffix,name_first,name_middle,race
heynis,,aafje,,"GreaterEuropean,WestEuropean,Germanic"
noordewier-reddingius,,aaltje,,"GreaterEuropean,WestEuropean,Germanic"
de quant,,abbie,,"GreaterEuropean,WestEuropean,Germanic"
,,abbo of provence,,"GreaterEuropean,WestEuropean,Germanic"
ahanfouf,,abdelaziz,,"GreaterEuropean,WestEuropean,Germanic"
falaturi,,abdoldjavad,,"GreaterEuropean,WestEuropean,Germanic"
holzmann,,abe,,"GreaterEuropean,WestEuropean,Germanic"
warburg,,aby,,"GreaterEuropean,WestEuropean,Germanic"
baantjer,,a.,c.,"GreaterEuropean,WestEuropean,Germanic"
reichel,,achim,,"GreaterEuropean,WestEuropean,Germanic"
schwarze,,achim,,"GreaterEuropean,WestEuropean,Germanic"
albrecht,,ada,,"GreaterEuropean,WestEuropean,Germanic"
,,adalard of corbie,,"GreaterEuropean,WestEuropean,Germanic"
,,adalard the seneschal,,"GreaterEuropean,WestEuropean,Germanic"
bezzenberger,,adalbert,,"GreaterEuropean,WestEuropean,Germanic"
merx,,adalbert,,"GreaterEuropean,WestEuropean,Germanic"
tawil,,adel,,"GreaterEuropean,WestEuropean,Germanic"
,,adgandestrius,,"GreaterEuropean,WestEuropean,Germanic"
,,adler,,"GreaterEuropean,WestEuropean,Germanic"
bartels,,adolf,,"GreaterEuropean,WestEuropean,Germanic"
hilgenfeld,,adolf,bernhard christoph,"GreaterEuropean,WestEuropean,Germanic"
marx,,adolf,bernhard,"GreaterEuropean,WestEuropean,Germanic"
brand,,adolf,,"GreaterEuropean,WestEuropean,Germanic"
erman,,adolf,,"GreaterEuropean,WestEuropean,Germanic"
glassbrenner,,adolf,,"GreaterEuropean,WestEuropean,Germanic"
hitler,,adolf,,"GreaterEuropean,WestEuropean,Germanic"
lasson,,adolf,,"GreaterEuropean,WestEuropean,Germanic"
michaelis,,adolf,,"GreaterEuropean,WestEuropean,Germanic"
althaus,,adolf,paul johannes,"GreaterEuropean,WestEuropean,Germanic"
schlatter,,adolf,,"GreaterEuropean,WestEuropean,Germanic"
soetbeer,,adolf,,"GreaterEuropean,WestEuropean,Germanic"
von harnack,,adolf,,"GreaterEuropean,WestEuropean,Germanic"
von henselt,,adolf,,"GreaterEuropean,WestEuropean,Germanic"
wilbrandt,,adolf,,"GreaterEuropean,WestEuropean,Germanic"
