DirectorName - unedited,First_Name,Last_Name
AJ Roshan-Rouz,AJ,Roshan-Rouz
Doctor Jennie Hwang,Jennie,Hwang
Jean-Marie Bourassa,Jean-Marie,Bourassa
Jim Fahey,Jim,Fahey
Luc Bertrand,Luc,Bertrand
Nathalie Le Prohon,Nathalie,Le Prohon
Hugh Smythe,Hugh,Smythe
John McLernon,John,McLernon
Richard McKerracher,Richard,McKerracher
Frank Di Tomaso,Frank,Di Tomaso
Jean Paschini,Jean,Paschini
Marc Belcourt,Marc,Belcourt
Marise Paschini,Marise,Paschini
Michèle Desjardins,Michèle,Desjardins
Pierre Paschini,Pierre,Paschini
Robert Paré,Robert,Paré
Tony Meti,Tony,Meti
Carolyn Egbert,Carolyn,Egbert
David Dodd,David,Dodd
Gérard Limoges,Gérard,Limoges
Juergen Ernst,Juergen,Ernst
Bob Farquharson,Bob,Farquharson
Colonel Blake Goldring,Blake,Goldring
Douglas Derry,Douglas,Derry
Geoffrey Squibb,Geoffrey,Squibb
Judy Goldring,Judy,Goldring
Kathleen Camilli,Kathleen,Camilli
Sarah Davis,Sarah,Davis
Win Smith Jr,Win,Smith
Howard N. Rosen,Howard,Rosen
John Gardner,John,Gardner
Drew Franklin,Drew,Franklin
Greg Stewart,Greg,Stewart
Marie-Lucie Morin,Marie-Lucie,Morin
Murad Al-Katib,Murad,Al-Katib
Hüseyin Arslan,Hüseyin,Arslan
Alan Watson,Alan,Watson
Bob Hagerman,Bob,Hagerman
Brian Robbins,Brian,Robbins
Gren Schoch,Gren,Schoch
Mary Matthews,Mary,Matthews
Robert McLeish,Robert,McLeish
Bill Sembo,Bill,Sembo
Fred Dyment,Fred,Dyment
Hal Kvisle,Hal,Kvisle
Herb Pinder Jr,Herb,Pinder
Jim Houck,Jim,Houck
John Dielwart,John,Dielwart
Kathleen O'Neill,Kathleen,O'Neill
Myron Stadnyk,Myron,Stadnyk
Tim Hearn,Tim,Hearn
Anthony Caputo,Anthony,Caputo
Daryl Wilson,Daryl,Wilson
David McAusland,David,McAusland
Gordon Presher Jr,Gordon,Presher
Ivan Ross,Ivan,Ross
Michael Martino,Michael,Martino
Neil Arnold,Neil,Arnold
