qid,country,category,person_count
Q30,United States,DROP,673128
Q142,France,"GreaterEuropean,WestEuropean,French",412808
Q183,Germany,"GreaterEuropean,WestEuropean,Germanic",334113
Q17,Japan,"Asian,GreaterEastAsian,Japanese",257549
Q145,United Kingdom,"GreaterEuropean,British",236721
Q15180,Soviet Union,"GreaterEuropean,EastEuropean",195987
Q29,Spain,"GreaterEuropean,WestEuropean,Hispanic",181268
Q38,Italy,"GreaterEuropean,WestEuropean,Italian",155375
Q16,Canada,DROP,143325
Q36,Poland,"GreaterEuropean,EastEuropean",127537
Q9903,Ming dynasty,"Asian,GreaterEastAsian,EastAsian",123974
Q20,Norway,"GreaterEuropean,WestEuropean,Nordic",119759
Q34,Sweden,"GreaterEuropean,WestEuropean,Nordic",117913
Q252,Indonesia,"GreaterAfrican,Muslim",113382
Q159,Russia,"GreaterEuropean,EastEuropean",108228
Q29999,Kingdom of the Netherlands,"GreaterEuropean,WestEuropean,Germanic",108217
Q155,Brazil,DROP,95180
Q668,India,"Asian,IndianSubContinent",93972
Q43,Turkey,"GreaterAfrican,Muslim",92070
Q174193,United Kingdom of Great Britain and Ireland,"GreaterEuropean,British",83652
Q33,Finland,"GreaterEuropean,WestEuropean,Nordic",77230
Q39,Switzerland,DROP,73895
Q31,Belgium,DROP,69907
Q408,Australia,DROP,69852
Q28,Hungary,"GreaterEuropean,EastEuropean",69740
Q34266,Russian Empire,"GreaterEuropean,EastEuropean",69095
Q148,People's Republic of China,"Asian,GreaterEastAsian,EastAsian",68934
Q172579,Kingdom of Italy,"GreaterEuropean,WestEuropean,Italian",65354
Q40,Austria,"GreaterEuropean,WestEuropean,Germanic",65261
Q8733,Qing dynasty,"Asian,GreaterEastAsian,EastAsian",60600
Q756617,Kingdom of Denmark,"GreaterEuropean,WestEuropean,Nordic",59599
Q884,South Korea,"Asian,GreaterEastAsian,EastAsian",59505
Q212,Ukraine,"GreaterEuropean,EastEuropean",53614
Q33946,Czechoslovakia,"GreaterEuropean,EastEuropean",53534
Q414,Argentina,"GreaterEuropean,WestEuropean,Hispanic",48130
Q215,Slovenia,"GreaterEuropean,EastEuropean",44116
Q7462,Song dynasty,"Asian,GreaterEastAsian,EastAsian",42464
