qid,country,origin,person_count
Q30,United States,DROP,673128
Q142,France,France,412808
Q183,Germany,Germany,334113
Q17,Japan,Japan,257549
Q145,United Kingdom,United Kingdom,236721
Q15180,Soviet Union,DROP,195987
Q29,Spain,Spain,181268
Q38,Italy,Italy,155375
Q16,Canada,DROP,143325
Q36,Poland,Poland,127537
Q9903,Ming dynasty,China,123974
Q20,Norway,Norway,119759
Q34,Sweden,Sweden,117913
Q252,Indonesia,Indonesia,113382
Q159,Russia,Russia,108228
Q29999,Kingdom of the Netherlands,Netherlands,108217
Q155,Brazil,Brazil,95180
Q668,India,India,93972
Q43,Turkey,Turkey,92070
Q174193,United Kingdom of Great Britain and Ireland,United Kingdom,83652
Q33,Finland,Finland,77230
Q39,Switzerland,Switzerland,73895
Q31,Belgium,Belgium,69907
Q408,Australia,DROP,69852
Q28,Hungary,Hungary,69740
Q34266,Russian Empire,DROP,69095
Q148,People's Republic of China,China,68934
Q172579,Kingdom of Italy,Italy,65354
Q40,Austria,Austria,65261
Q8733,Qing dynasty,China,60600
Q756617,Kingdom of Denmark,Denmark,59599
Q884,South Korea,South Korea,59505
Q212,Ukraine,Ukraine,53614
Q33946,Czechoslovakia,DROP,53534
Q414,Argentina,Argentina,48130
Q215,Slovenia,Slovenia,44116
Q7462,Song dynasty,China,42464
Q801,Israel,Israel,41772
Q191,Estonia,Estonia,39090
Q218,Romania,Romania,38505
Q9683,Tang dynasty,China,37874
Q96,Mexico,Mexico,36845
Q664,New Zealand,DROP,36425
Q213,Czech Republic,Czech Republic,35893
Q188712,Empire of Japan,Japan,35495
Q41,Greece,Greece,32500
Q865,Taiwan,Taiwan,27913
Q45,Portugal,Portugal,26131
Q1033,Nigeria,Nigeria,23565
Q419,Peru,Peru,23502
Q794,Iran,Iran,23049
Q16957,German Democratic Republic,Germany,21320
Q258,South Africa,South Africa,20942
Q7313,Yuan dynasty,China,19668
Q27,Ireland,Ireland,18891
Q219,Bulgaria,Bulgaria,18759
