qid,ethnic_group,category,person_count
Q42740,Han Chinese people,"Asian,GreaterEastAsian,EastAsian",39786
Q49085,African Americans,"GreaterAfrican,Africans",8887
Q79797,Armenians,"GreaterEuropean,EastEuropean",2696
Q1130350,Minangkabau,"GreaterAfrican,Muslim",2681
Q2995285,White Brazilians,"GreaterEuropean,WestEuropean,Hispanic",2628
Q752526,Galicians,"GreaterEuropean,WestEuropean,Hispanic",2128
Q170217,Czechs,"GreaterEuropean,EastEuropean",1602
Q7325,Jewish people,"GreaterEuropean,Jewish",1484
Q2587830,Pardo Brazilians,"GreaterEuropean,WestEuropean,Hispanic",1445
Q145665,Manchu,"Asian,GreaterEastAsian,EastAsian",1098
Q503963,Bamar,"Asian,GreaterEastAsian,EastAsian",958
Q6122670,Māori,DROP,805
Q41975,Mongols,"Asian,GreaterEastAsian,EastAsian",657
Q388315,African Brazilians,"GreaterAfrican,Africans",657
Q49078,White Americans,DROP,581
Q1983634,Odia people,"Asian,IndianSubContinent",561
Q44806,Ukrainians,"GreaterEuropean,EastEuropean",507
Q49542,Russians,"GreaterEuropean,EastEuropean",490
Q817393,black people,DROP,455
Q846570,Americans,DROP,444
Q1026,Poles,"GreaterEuropean,EastEuropean",398
Q190168,Yoruba people,"GreaterAfrican,Africans",366
Q842438,British,"GreaterEuropean,British",364
Q235155,white people,DROP,361
Q10312754,Japanese Canadians,"Asian,GreaterEastAsian,Japanese",359
Q1945786,Chinese Indonesians,"Asian,GreaterEastAsian,EastAsian",349
Q142702,Malays,"GreaterAfrican,Muslim",343
Q12223,Kurds,"GreaterAfrican,Muslim",321
Q726673,Swedish-speaking population of Finland,"GreaterEuropean,WestEuropean,Nordic",318
Q189975,Inuit,DROP,299
Q539051,Greeks,"GreaterEuropean,EastEuropean",287
Q42406,English people,"GreaterEuropean,British",279
Q108266,Navajo,DROP,271
Q484464,Koreans,"Asian,GreaterEastAsian,EastAsian",257
Q121842,French,"GreaterEuropean,WestEuropean,French",253
Q216151,Vietnamese people,"Asian,GreaterEastAsian,EastAsian",235
Q42884,Germans,"GreaterEuropean,WestEuropean,Germanic",226
Q244157,Igbo people,"GreaterAfrican,Africans",205
Q33938,Hausa people,"GreaterAfrican,Africans",197
Q35323,Arabs,"GreaterAfrican,Muslim",194
Q170826,Irish people,"GreaterEuropean,British",174
Q34069,Ashkenazi Jews,"GreaterEuropean,Jewish",158
Q678551,American Jews,"GreaterEuropean,Jewish",158
Q50001,Italians,"GreaterEuropean,WestEuropean,Italian",153
Q472834,Thai people,"Asian,GreaterEastAsian,EastAsian",152
Q105405,Cherokee,DROP,146
Q581921,Mexican Americans,"GreaterEuropean,WestEuropean,Hispanic",143
Q18973,Georgians,"GreaterEuropean,EastEuropean",141
Q8060,Romani people,DROP,140
Q46118,Uyghurs,"GreaterAfrican,Muslim",139
Q171336,Slovaks,"GreaterEuropean,EastEuropean",136
Q3267254,Afro-Uruguayan,"GreaterEuropean,WestEuropean,Hispanic",136
Q1075293,Irish Americans,"GreaterEuropean,British",135
Q974693,Italian Americans,"GreaterEuropean,WestEuropean,Italian",135
Q483569,Belarusians,"GreaterEuropean,EastEuropean",132
Q2436423,Macedonians,"GreaterEuropean,EastEuropean",130
Q1200528,Malaysian Chinese,"Asian,GreaterEastAsian,EastAsian",126
Q165192,Swedes,"GreaterEuropean,WestEuropean,Nordic",126
